Date,ContestNumber,Word,NumberOfReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7OrMoreTriesX,word,count,,,
2/16/2022,242,caulk,289721,10740,1,4,20,31,26,15,3,caulk,245944,,,
8/18/2022,425,twang,34938,3172,0,3,22,43,25,7,1,twang,243118,,,
8/11/2022,418,glean,37301,3243,0,6,23,37,24,8,1,glean,232952,,,
11/28/2022,527,tepid,26051,2484,0,10,38,35,13,3,0,tepid,220695,,,
4/28/2022,313,zesty,88974,6315,0,2,12,27,30,22,7,zesty,210124,,,
5/8/2022,323,canny,72518,5256,0,2,10,30,34,20,4,canny,209480,,,
7/22/2022,398,tryst,43099,3665,0,3,26,41,23,6,1,tryst,205722,,,
6/28/2022,374,droll,47312,3844,0,2,16,31,31,17,3,droll,196087,,,
11/15/2022,514,snarl,27475,2650,0,5,21,31,24,15,4,snarl,184639,,,
9/28/2022,466,usurp,31355,3007,0,3,21,38,26,9,1,usurp,171456,,,
9/7/2022,445,leery,30992,2873,0,3,17,37,28,12,2,leery,168700,,,
12/7/2022,536,joust,24899,2388,0,6,29,34,21,8,2,joust,160309,,,
6/14/2022,360,atone,59968,4762,2,16,34,29,14,4,1,atone,152901,,,
6/1/2022,347,creak,63241,4797,0,5,21,32,25,14,3,creak,124122,,,
1/30/2022,225,wrung,294687,11524,0,2,18,39,27,12,2,wrung,121159,,,
12/2/2022,531,chafe,24646,2343,0,6,30,33,19,9,2,chafe,118832,,,
6/21/2022,367,gloat,53342,4194,0,8,21,31,26,12,2,gloat,113594,,,
4/2/2022,287,trope,155079,9315,1,16,33,28,15,6,1,trope,109419,,,
9/29/2022,467,scald,30477,2829,0,4,23,36,24,11,2,scald,101839,,,
2/19/2022,245,swill,282327,11241,1,1,8,19,31,30,10,swill,92032,,,
8/27/2022,434,ruder,31241,2784,0,2,16,33,29,16,4,ruder,89666,,,
6/25/2022,371,beady,46089,3670,0,3,19,39,29,10,1,beady,87974,,,
12/28/2022,557,impel,20160,1937,0,3,21,40,25,9,1,impel,86447,,,
8/16/2022,423,gruel,35105,3087,0,3,19,39,29,9,1,gruel,82196,,,
7/25/2022,401,elope,39228,3339,0,4,22,32,26,13,2,elope,74984,,,
10/26/2022,494,flout,30063,2904,0,6,28,37,21,7,1,flout,72396,,,
8/2/2022,409,coyly,34909,3380,0,0,4,17,28,35,15,coyly,52174,,,
3/22/2022,276,slosh,160161,8807,0,2,19,36,27,13,2,slosh,51634,,,
9/16/2022,454,parer,37309,4130,0,0,4,11,15,22,48,parer,38034,,,
6/29/2022,375,gawky,45645,3957,0,1,5,22,33,28,10,gawky,31136,,,
10/5/2022,473,,30935,2885,0,9,30,35,19,6,1,marsh,5073104,,,
