middle3Letters,last4,first3Letters,last2Letters,first2Letters,last3Letters,percentHardMode,Date,ContestNumber,Word,ReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel,commonTri,CommonTrigrams
owd,owdy,how,dy,ho,wdy,0.093917,2022-10-09,477,howdy,28408,2668,0,2,13,32,32,17,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.038997,0.074095,0.016713,0.030084,0.033983,False,True,False,False,True,0,
loc,lock,flo,ck,fl,ock,0.083337,2022-07-18,394,flock,42574,3548,0,4,22,37,27,9,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.018384,0.062396,0.074095,0.039554,0.019499,False,False,True,False,False,0,
noc,nock,kno,ck,kn,ock,0.096469,2022-12-10,539,knock,21157,2041,0,3,18,43,27,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.019499,0.049025,0.074095,0.039554,0.019499,False,False,True,False,False,0,
ano,anor,man,or,ma,nor,0.076504,2022-05-31,346,manor,62768,4802,0,6,27,34,21,10,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.030641,0.088579,0.049025,0.074095,0.074652,False,True,False,True,False,0,
ono,onor,don,or,do,nor,0.076986,2022-06-13,359,donor,53802,4142,0,3,27,38,23,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.030084,0.074095,0.049025,0.074095,0.074652,False,True,False,True,False,0,
ugg,uggy,bug,gy,bu,ggy,0.091780,2022-08-05,412,buggy,37350,3428,0,1,9,29,34,22,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.017270,0.035655,0.028412,0.028412,0.033983,False,True,False,False,True,0,
ogg,oggy,sog,gy,so,ggy,0.093206,2022-09-27,465,soggy,30985,2888,0,2,18,38,28,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.049025,0.074095,0.028412,0.028412,0.033983,False,True,False,False,True,0,
ogg,oggy,fog,gy,fo,ggy,0.097296,2022-10-25,493,foggy,28953,2817,0,2,13,35,32,15,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.018384,0.074095,0.028412,0.028412,0.033983,False,True,False,False,True,0,
lik,like,ali,ke,al,ike,0.090897,2022-09-20,458,alike,31277,2843,0,6,20,33,27,12,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088579,0.062396,0.056267,0.019499,0.102507,True,False,True,False,True,0,
ain,ainy,rai,ny,ra,iny,0.092396,2022-11-09,508,rainy,28984,2678,1,16,38,31,11,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.074652,0.088579,0.056267,0.049025,0.033983,False,True,True,False,True,0,
epo,epot,dep,ot,de,pot,0.057005,2022-03-25,279,depot,150197,8562,0,5,29,36,20,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.030084,0.102507,0.035655,0.074095,0.072423,False,True,False,True,False,0,
una,unar,lun,ar,lu,nar,0.091794,2022-12-21,550,lunar,22180,2036,0,5,32,40,17,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.062396,0.035655,0.049025,0.088579,0.074652,False,True,False,True,False,0,
qua,qual,equ,al,eq,ual,0.098430,2022-10-13,481,equal,27197,2677,0,5,23,35,25,11,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.102507,0.002786,0.035655,0.088579,0.062396,True,False,True,True,False,0,
sua,sual,usu,al,us,ual,0.098348,2022-12-14,543,usual,20824,2048,0,3,20,39,27,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.035655,0.049025,0.035655,0.088579,0.062396,True,False,True,True,False,0,
pro,pron,apr,on,ap,ron,0.076961,2022-06-16,362,apron,53430,4112,0,7,30,38,19,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.088579,0.035655,0.074652,0.074095,0.049025,True,False,False,True,False,0,
rim,rimo,pri,mo,pr,imo,0.078426,2022-06-15,361,primo,55989,4391,0,3,22,38,25,10,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.056267,0.030641,0.074095,False,False,True,False,True,0,
ale,alet,val,et,va,let,0.095539,2022-11-12,511,valet,24660,2356,0,4,22,38,25,9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.013928,0.088579,0.062396,0.102507,0.072423,False,True,False,True,False,0,
ars,arsh,mar,sh,ma,rsh,0.093260,2022-10-05,473,marsh,30935,2885,0,9,30,35,19,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.030641,0.088579,0.074652,0.049025,0.038997,False,True,False,False,False,0,
ola,olar,sol,ar,so,lar,0.023639,2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.074095,0.062396,0.088579,0.074652,False,True,False,True,False,0,
ola,olar,mol,ar,mo,lar,0.093048,2022-12-30,559,molar,21204,1973,0,4,21,38,26,9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.030641,0.074095,0.062396,0.088579,0.074652,False,True,False,True,False,0,
unk,unky,hun,ky,hu,nky,0.090288,2022-08-13,420,hunky,35276,3185,0,1,11,33,25,22,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.038997,0.035655,0.049025,0.019499,0.033983,False,True,False,False,True,0,
egi,egin,beg,in,be,gin,0.093463,2022-11-07,506,begin,26096,2439,0,6,26,36,23,7,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017270,0.102507,0.028412,0.056267,0.049025,False,True,False,True,False,0,
aut,aute,sau,te,sa,ute,0.051738,2022-03-18,272,saute,179830,9304,1,8,31,34,19,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.049025,0.088579,0.035655,0.072423,0.102507,False,True,True,False,True,0,
hut,hute,chu,te,ch,ute,0.091956,2022-09-17,455,chute,33418,3073,0,11,37,36,12,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.039554,0.038997,0.035655,0.072423,0.102507,False,False,True,False,True,0,
car,care,sca,re,sc,are,0.063829,2022-04-08,293,scare,141158,9010,1,12,23,26,21,13,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.039554,0.088579,0.074652,0.102507,False,False,True,False,True,0,
bbe,bbey,abb,ey,ab,bey,0.025202,2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.088579,0.017270,0.017270,0.102507,0.033983,True,False,False,True,True,0,
tal,tale,sta,le,st,ale,0.096981,2022-11-06,505,stale,31068,3013,2,19,30,27,15,6,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.088579,0.062396,0.102507,False,False,True,False,True,0,
rai,rait,tra,it,tr,ait,0.075492,2022-06-08,354,trait,61026,4607,0,6,22,35,24,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.074652,0.088579,0.056267,0.072423,False,False,True,True,False,0,
mpe,mpel,imp,el,im,pel,0.096081,2022-12-28,557,impel,20160,1937,0,3,21,40,25,9,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056267,0.030641,0.035655,0.102507,0.062396,True,False,False,True,False,0,
our,ourn,mou,rn,mo,urn,0.043601,2022-03-03,257,mourn,240018,10465,1,8,29,34,19,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0.030641,0.074095,0.035655,0.074652,0.049025,False,True,True,False,False,0,
ada,adam,mad,am,ma,dam,0.084597,2022-07-11,387,madam,40545,3430,0,3,13,35,34,14,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030641,0.088579,0.030084,0.088579,0.030641,False,True,False,True,False,0,
rom,roma,aro,ma,ar,oma,0.035934,2022-02-15,241,aroma,287836,10343,1,6,25,33,22,11,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.088579,0.074652,0.074095,0.030641,0.088579,True,False,True,False,True,0,
ton,tone,ato,ne,at,one,0.079409,2022-06-14,360,atone,59968,4762,2,16,34,29,14,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.088579,0.072423,0.074095,0.049025,0.102507,True,False,True,False,True,0,
umo,umor,hum,or,hu,mor,0.045341,2022-02-09,235,humor,305372,13846,1,5,22,34,25,11,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.038997,0.035655,0.030641,0.074095,0.074652,False,True,False,True,False,0,
rin,rink,dri,nk,dr,ink,0.019606,2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.030084,0.074652,0.056267,0.049025,0.019499,False,False,True,False,False,0,
rin,rink,bri,nk,br,ink,0.077536,2022-06-23,369,brink,53111,4118,0,4,22,41,24,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.017270,0.074652,0.056267,0.049025,0.019499,False,False,True,False,False,0,
ibi,ibia,tib,ia,ti,bia,0.095923,2022-09-11,449,tibia,27887,2675,0,1,14,40,30,12,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.072423,0.056267,0.017270,0.056267,0.088579,False,True,False,True,True,0,
eed,eedy,nee,dy,ne,edy,0.086855,2022-08-24,431,needy,33700,2927,0,2,21,41,26,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.049025,0.102507,0.102507,0.030084,0.033983,False,True,True,False,True,0,
oye,oyer,foy,er,fo,yer,0.075281,2022-04-19,304,foyer,108899,8198,0,2,10,19,19,23,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.018384,0.074095,0.033983,0.102507,0.074652,False,True,True,True,False,0,
rat,rate,gra,te,gr,ate,0.093877,2022-09-24,462,grate,32777,3077,1,14,29,28,16,8,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.028412,0.074652,0.088579,0.072423,0.102507,False,False,True,False,True,0,
lat,late,sla,te,sl,ate,0.093118,2022-12-19,548,slate,26010,2422,6,14,33,27,13,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.062396,0.088579,0.072423,0.102507,False,False,True,False,True,0,
how,hown,sho,wn,sh,own,0.066325,2022-04-27,312,shown,98967,6564,0,6,26,36,22,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.049025,0.038997,0.074095,0.016713,0.049025,False,False,True,False,False,0,
low,lown,blo,wn,bl,own,0.077765,2022-06-17,363,blown,54665,4251,0,6,23,35,26,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.017270,0.062396,0.074095,0.016713,0.049025,False,False,True,False,False,0,
low,lown,clo,wn,cl,own,0.086425,2022-08-25,432,clown,36737,3175,1,8,29,36,20,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.039554,0.062396,0.074095,0.016713,0.049025,False,False,True,False,False,0,
ips,ipsy,tip,sy,ti,psy,0.071174,2022-05-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.072423,0.056267,0.035655,0.049025,0.033983,False,True,False,False,True,0,
ast,asty,nas,ty,na,sty,0.042024,2022-03-02,256,nasty,257304,10813,1,7,26,31,21,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.049025,0.088579,0.049025,0.072423,0.033983,False,True,False,False,True,0,
est,esty,zes,ty,ze,sty,0.070976,2022-04-28,313,zesty,88974,6315,0,2,12,27,30,22,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.002786,0.102507,0.049025,0.072423,0.033983,False,True,False,False,True,0,
ust,usty,rus,ty,ru,sty,0.078375,2022-06-26,372,rusty,50450,3954,0,9,37,34,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0.074652,0.035655,0.049025,0.072423,0.033983,False,True,False,False,True,0,
nan,nane,ina,ne,in,ane,0.100259,2022-11-13,512,inane,25085,2515,0,8,25,30,21,13,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.056267,0.049025,0.088579,0.049025,0.102507,True,False,True,False,True,0,
etr,etro,ret,ro,re,tro,0.080190,2022-06-27,373,retro,47986,3848,0,6,24,35,24,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.074652,0.102507,0.072423,0.074652,0.074095,False,True,False,False,True,0,
nar,narl,sna,rl,sn,arl,0.096451,2022-11-15,514,snarl,27475,2650,0,5,21,31,24,15,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.049025,0.088579,0.074652,0.062396,False,False,True,False,False,0,
ous,oust,jou,st,jo,ust,0.095907,2022-12-07,536,joust,24899,2388,0,6,29,34,21,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.002228,0.074095,0.035655,0.049025,0.072423,False,True,True,False,False,0,
irt,irth,gir,th,gi,rth,0.077724,2022-06-09,355,girth,60020,4665,0,6,23,33,23,12,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.028412,0.056267,0.074652,0.072423,0.038997,False,True,False,False,False,0,
ert,erth,ber,th,be,rth,0.083619,2022-07-10,386,berth,41785,3494,0,7,24,35,24,9,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.017270,0.102507,0.074652,0.072423,0.038997,False,True,False,False,False,0,
rai,raid,bra,id,br,aid,0.091582,2022-12-09,538,braid,23640,2165,0,10,36,35,14,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017270,0.074652,0.088579,0.056267,0.030084,False,False,True,True,False,0,
iel,ield,yie,ld,yi,eld,0.073948,2022-05-15,330,yield,67115,4963,0,4,16,29,29,18,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033983,0.056267,0.102507,0.062396,0.030084,True,True,True,False,False,0,
iel,ield,fie,ld,fi,eld,0.080847,2022-07-05,381,field,44578,3604,1,6,25,36,23,9,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018384,0.056267,0.102507,0.062396,0.030084,False,True,True,False,False,0,
ris,risk,bri,sk,br,isk,0.090961,2022-09-26,464,brisk,31706,2884,0,5,23,38,24,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.017270,0.074652,0.056267,0.049025,0.019499,False,False,True,False,False,0,
rai,rain,tra,in,tr,ain,0.067220,2022-05-04,319,train,107750,7243,6,26,32,22,10,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.074652,0.088579,0.056267,0.049025,False,False,True,True,False,0,
arr,arry,car,ry,ca,rry,0.094715,2022-10-27,495,carry,27609,2615,0,4,22,35,24,12,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.039554,0.088579,0.074652,0.074652,0.033983,False,True,False,False,True,0,
atc,atch,wat,ch,wa,tch,0.054783,2022-03-11,265,watch,226349,12400,1,6,14,18,17,24,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.016713,0.088579,0.072423,0.039554,0.038997,False,True,False,False,False,0,
utc,utch,hut,ch,hu,tch,0.085000,2022-06-30,376,hutch,44212,3758,0,1,12,28,28,21,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.038997,0.035655,0.072423,0.039554,0.038997,False,True,False,False,False,0,
atc,atch,cat,ch,ca,tch,0.102720,2022-10-15,483,catch,30403,3123,0,7,18,20,15,16,23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.039554,0.088579,0.072423,0.039554,0.038997,False,True,False,False,False,0,
haf,hafe,cha,fe,ch,afe,0.095066,2022-12-02,531,chafe,24646,2343,0,6,30,33,19,9,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.038997,0.088579,0.018384,0.102507,False,False,True,False,True,0,
iar,iara,tia,ra,ti,ara,0.075839,2022-05-27,342,tiara,63846,4842,0,8,36,33,17,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.056267,0.088579,0.074652,0.088579,False,True,True,False,True,0,
auz,auze,gau,ze,ga,uze,0.094857,2022-08-28,435,gauze,30214,2866,0,2,11,24,31,25,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.028412,0.088579,0.035655,0.002786,0.102507,False,True,True,False,True,0,
igo,igor,vig,or,vi,gor,0.098197,2022-10-08,476,vigor,26905,2642,0,2,15,35,31,14,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.013928,0.056267,0.028412,0.074095,0.074652,False,True,False,True,False,0,
rox,roxy,pro,xy,pr,oxy,0.028088,2022-01-18,213,proxy,220950,6206,1,2,11,24,31,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0.035655,0.074652,0.074095,0.003900,0.033983,False,False,True,False,True,0,
pox,poxy,epo,xy,ep,oxy,0.062713,2022-03-26,280,epoxy,149507,9376,0,2,13,31,33,18,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0.102507,0.035655,0.074095,0.003900,0.033983,True,False,True,False,True,0,
iet,iety,pie,ty,pi,ety,0.078084,2022-06-10,356,piety,55376,4324,0,4,25,41,22,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.035655,0.056267,0.102507,0.072423,0.033983,False,True,True,False,True,0,
hee,heek,che,ek,ch,eek,0.065147,2022-04-16,301,cheek,107987,7035,0,3,19,40,28,9,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.038997,0.102507,0.102507,0.019499,False,False,True,True,False,0,
ner,nert,ine,rt,in,ert,0.069193,2022-04-24,309,inert,97452,6743,0,7,27,34,22,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.056267,0.049025,0.102507,0.074652,0.072423,True,False,True,False,False,0,
ver,vert,ave,rt,av,ert,0.096974,2022-11-19,518,avert,24749,2400,0,7,26,35,22,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.088579,0.013928,0.102507,0.074652,0.072423,True,False,True,False,False,0,
ila,ilac,lil,ac,li,lac,0.085486,2022-07-03,379,lilac,40486,3461,0,2,17,38,29,12,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062396,0.056267,0.062396,0.088579,0.039554,False,True,False,True,False,0,
kil,kill,ski,ll,sk,ill,0.044100,2022-02-06,232,skill,311018,13716,1,3,17,33,27,16,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.019499,0.056267,0.062396,0.062396,False,False,True,False,False,0,
wil,will,swi,ll,sw,ill,0.039816,2022-02-19,245,swill,282327,11241,1,1,8,19,31,30,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.049025,0.016713,0.056267,0.062396,0.062396,False,False,True,False,False,0,
pil,pill,spi,ll,sp,ill,0.040614,2022-02-26,252,spill,248363,10087,1,5,26,34,22,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.056267,0.062396,0.062396,False,False,True,False,False,0,
ept,epth,dep,th,de,pth,0.076298,2022-06-05,351,depth,56738,4329,0,6,28,39,20,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.030084,0.102507,0.035655,0.072423,0.038997,False,True,False,False,False,0,
ids,idst,mid,st,mi,dst,0.070281,2022-05-07,322,midst,74458,5233,0,3,25,39,24,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.030641,0.056267,0.030084,0.049025,0.072423,False,True,False,False,False,0,
pie,piel,spi,el,sp,iel,0.096617,2022-10-22,490,spiel,29084,2810,0,7,32,36,19,6,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.056267,0.102507,0.062396,False,False,True,True,False,0,
ran,rank,cra,nk,cr,ank,0.017369,2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.039554,0.074652,0.088579,0.049025,0.019499,False,False,True,False,False,0,
aca,acao,cac,ao,ca,cao,0.086876,2022-06-18,364,cacao,47205,4101,0,1,9,27,36,23,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.088579,0.039554,0.088579,0.074095,False,True,False,True,True,0,
ani,anic,pan,ic,pa,nic,0.022610,2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.035655,0.088579,0.049025,0.056267,0.039554,False,True,False,True,False,0,
yni,ynic,cyn,ic,cy,nic,0.039549,2022-02-14,240,cynic,261521,10343,1,6,25,33,22,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.039554,0.033983,0.049025,0.056267,0.039554,False,True,False,True,False,0,
oni,onic,ion,ic,io,nic,0.101094,2022-10-12,480,ionic,29151,2947,0,2,13,25,28,21,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.056267,0.074095,0.049025,0.056267,0.039554,True,True,False,True,False,0,
eck,ecko,gec,ko,ge,cko,0.073765,2022-05-10,325,gecko,74412,5489,0,2,16,38,29,12,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.028412,0.102507,0.039554,0.019499,0.074095,False,True,False,False,True,0,
ond,ondo,con,do,co,ndo,0.096365,2022-12-27,556,condo,20879,2012,0,2,17,35,29,14,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.074095,0.049025,0.030084,0.074095,False,True,False,False,True,0,
erk,erky,per,ky,pe,rky,0.037539,2022-01-28,223,perky,296968,11148,1,4,17,30,27,17,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.035655,0.102507,0.074652,0.019499,0.033983,False,True,False,False,True,0,
int,into,pin,to,pi,nto,0.080257,2022-07-01,377,pinto,47248,3792,0,5,25,41,22,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.056267,0.049025,0.072423,0.074095,False,True,False,False,True,0,
ort,orta,aor,ta,ao,rta,0.096276,2022-12-23,552,aorta,21937,2112,0,7,26,35,20,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.088579,0.074095,0.074652,0.072423,0.088579,True,True,False,False,True,0,
har,hard,sha,rd,sh,ard,0.040787,2022-02-03,229,shard,358176,14609,1,7,22,28,25,14,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.038997,0.088579,0.074652,0.030084,False,False,True,False,False,0,
oar,oard,hoa,rd,ho,ard,0.044937,2022-03-07,261,hoard,218595,9823,1,9,30,34,19,7,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.038997,0.074095,0.088579,0.074652,0.030084,False,True,True,False,False,0,
hos,hose,tho,se,th,ose,0.038690,2022-02-01,227,those,351663,13606,1,13,34,30,15,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.072423,0.038997,0.074095,0.049025,0.102507,False,False,True,False,True,0,
oos,oose,goo,se,go,ose,0.078660,2022-06-11,357,goose,51958,4087,0,2,12,28,32,21,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.028412,0.074095,0.074095,0.049025,0.102507,False,True,True,False,True,0,
